id_date,mois,jour_semaine
2021-10-01,Octobre,Vendredi
2021-10-02,Octobre,Samedi
2021-10-03,Octobre,Dimanche
2021-10-04,Octobre,Lundi
2021-10-05,Octobre,Mardi
2021-10-06,Octobre,Mercredi
2021-10-07,Octobre,Jeudi
2021-10-08,Octobre,Vendredi
2021-10-09,Octobre,Samedi
2021-10-10,Octobre,Dimanche
2021-10-11,Octobre,Lundi
2021-10-12,Octobre,Mardi
2021-10-13,Octobre,Mercredi
2021-10-14,Octobre,Jeudi
2021-10-15,Octobre,Vendredi
2021-10-16,Octobre,Samedi
2021-10-17,Octobre,Dimanche
2021-10-18,Octobre,Lundi
2021-10-19,Octobre,Mardi
2021-10-20,Octobre,Mercredi
2021-10-21,Octobre,Jeudi
2021-10-22,Octobre,Vendredi
2021-10-23,Octobre,Samedi
2021-10-24,Octobre,Dimanche
2021-10-25,Octobre,Lundi
2021-10-26,Octobre,Mardi
2021-10-27,Octobre,Mercredi
2021-10-28,Octobre,Jeudi
2021-10-29,Octobre,Vendredi
2021-10-30,Octobre,Samedi
2021-10-31,Octobre,Dimanche
2021-11-01,Novembre,Lundi
2021-11-02,Novembre,Mardi
2021-11-03,Novembre,Mercredi
2021-11-04,Novembre,Jeudi
2021-11-05,Novembre,Vendredi
2021-11-06,Novembre,Samedi
2021-11-07,Novembre,Dimanche
2021-11-08,Novembre,Lundi
2021-11-09,Novembre,Mardi
2021-11-10,Novembre,Mercredi
2021-11-11,Novembre,Jeudi
2021-11-12,Novembre,Vendredi
2021-11-13,Novembre,Samedi
2021-11-14,Novembre,Dimanche
2021-11-15,Novembre,Lundi
2021-11-16,Novembre,Mardi
2021-11-17,Novembre,Mercredi
2021-11-18,Novembre,Jeudi
2021-11-19,Novembre,Vendredi
2021-11-20,Novembre,Samedi
2021-11-21,Novembre,Dimanche
2021-11-22,Novembre,Lundi
2021-11-23,Novembre,Mardi
2021-11-24,Novembre,Mercredi
2021-11-25,Novembre,Jeudi
2021-11-26,Novembre,Vendredi
2021-11-27,Novembre,Samedi
2021-11-28,Novembre,Dimanche
2021-11-29,Novembre,Lundi
2021-11-30,Novembre,Mardi
2021-12-01,Decembre,Mercredi
2021-12-02,Decembre,Jeudi
2021-12-03,Decembre,Vendredi
2021-12-04,Decembre,Samedi
2021-12-05,Decembre,Dimanche
2021-12-06,Decembre,Lundi
2021-12-07,Decembre,Mardi
2021-12-08,Decembre,Mercredi
2021-12-09,Decembre,Jeudi
2021-12-10,Decembre,Vendredi
2021-12-11,Decembre,Samedi
2021-12-12,Decembre,Dimanche
2021-12-13,Decembre,Lundi
2021-12-14,Decembre,Mardi
2021-12-15,Decembre,Mercredi
2021-12-16,Decembre,Jeudi
2021-12-17,Decembre,Vendredi
2021-12-18,Decembre,Samedi
2021-12-19,Decembre,Dimanche
2021-12-20,Decembre,Lundi
2021-12-21,Decembre,Mardi
2021-12-22,Decembre,Mercredi
